Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns),
0,56.232980949031536,96.31715925168271,5.257028447416521,-0.3375854,0.0087,0.010199999999999987,0.0072,732.4444444444445,0.000162232,0.000162232,0.000162232,0_1:1,0_1:291.55555555555554,
1,156.60197359737688,137.15571631917618,5.035771613936004,-0.342266056,0.009,0.012399999999999967,0.0056,732.4444444444445,0.000307458,0.000307458,0.000307458,1_2:0.010818449353998921; 1_4:0.01604832804827075; 1_0:1,1_2:327.1111111111111; 1_4:426.66666666666663; 1_0:316.4444444444444,
2,63.21353560937123,51.97837016689125,4.911049486113911,-0.345416259,0.016100000000000003,0.020000000000000018,0.0122,732.4444444444445,0.000210959,0.000210959,0.000210959,2_3:0.009847844244984777; 2_1:0.010818449353998921,2_3:231.1111111111111; 2_1:352,
3,89.65472883,134.51701954817915,5.118551878540684,-0.340381692,0.017199999999999993,0.017199999999999993,0.0172,732.4444444444445,0.000195483,0.000195483,0.000195483,3_2:0.009847844244984777; 3_5:0.0054938307135976305,3_2:206.2222222222222; 3_5:277.3333333333333,
4,46.14494901010292,20.51484505591038,5.185655814832658,-0.33927669,0.0207,0.020000000000000018,0.0214,732.4444444444445,0.000235636,0.000235636,0.000235636,4_7:0.00740465822917713; 4_1:0.01604832804827075,4_7:270.22222222222223; 4_1:451.55555555555554,
5,105.7372864272164,50.836471476100996,5.046091989506303,-0.30469778,0.015900000000000025,0.018199999999999994,0.0136,732.4444444444445,0.000241892,0.000241892,0.000241892,5_8:0.006521761082540267; 5_3:0.0054938307135976305,5_8:167.11111111111111; 5_3:327.1111111111111,
6,123.71343367452023,163.8004979635942,5.0988858755257676,-0.340634873,0.012499999999999956,0.016000000000000014,0.009,732.4444444444445,0.000429217,0.000429217,0.000429217,6_7:0.007916393805574518,6_7:312.88888888888886,
7,144.20678521538738,111.40806392565665,5.048024976086412,-0.341642294,0.013600000000000056,0.016800000000000037,0.0104,732.4444444444445,0.000881966,0.000881966,0.000881966,7_6:0.007916393805574518; 7_4:0.00740465822917713; 7_10:1,7_6:337.77777777777777; 7_4:295.1111111111111; 7_10:480,
8,83.87008978406398,43.32654845556854,4.969042378351226,-0.344159013,0.0232,0.020399999999999974,0.026,732.4444444444445,0.000162465,0.000162465,0.000162465,8_11:0.016021465413876695; 8_9:0.007325377314912868; 8_5:0.006521761082540267,8_11:945.7777777777777; 8_9:359.1111111111111; 8_5:216.88888888888889,
9,77.22739867,30.466329653770565,5.227468721768282,-0.339056774,0.0412,0.027599999999999958,0.0548,732.4444444444445,0.000216037,0.000216037,0.000216037,9_8:0.007325377314912868,9_8:334.22222222222223,
